year,season,Player,Squad,,poy_winner
1993,1992/1993,Paul McGrath,Aston Villa,,1
1994,1993/1994,Eric Cantona,Manchester United,,1
1995,1994/1995,Alan Shearer,Blackburn Rovers,,1
1996,1995/1996,Peter Schmeichel,Manchester United,,1
1997,1996/1997,Juninho Paulista,Middlesbrough,,1
1998,1997/1998,Michael Owen,Liverpool,,1
1999,1998/1999,Dwight Yorke,Manchester United,,1
2000,1999/2000,Kevin Phillips,Sunderland,,1
2001,2000/2001,Patrick Vieira,Arsenal,,1
2002,2001/2002,Freddie Ljungberg,Arsenal,,1
2003,2002/2003,Ruud van Nistelrooy,Manchester United,,1
2004,2003/2004,Thierry Henry,Arsenal,,1
2005,2004/2005,Frank Lampard,Chelsea,,1
2006,2005/2006,Thierry Henry,Arsenal,,1
2007,2006/2007,Cristiano Ronaldo,Manchester United,,1
2008,2007/2008,Cristiano Ronaldo,Manchester United,,1
2009,2008/2009,Nemanja VidiÄ‡,Manchester United,,1
2010,2009/2010,Wayne Rooney,Manchester United,,1
2011,2010/2011,Nemanja VidiÄ‡,Manchester United,,1
2012,2011/2012,Vincent Kompany,Manchester City,,1
2013,2012/2013,Gareth Bale,Tottenham,,1
2014,2013/2014,Luis SuÃ¡rez,Liverpool,,1
2015,2014/2015,Eden Hazard,Chelsea,,1
2016,2015/2016,Jamie Vardy,Leicester City,,1
2017,2016/2017,N'Golo KantÃ©,Chelsea,,1
2018,2017/2018,Mohamed Salah,Liverpool,,1
2019,2018/2019,Virgil van Dijk,Liverpool,,1
2020,2019/2020,Kevin De Bruyne,Manchester City,,1
2021,2020/2021,RÃºben Dias,Manchester City,,1
2022,2021/2022,Kevin De Bruyne,Manchester City,,1
2023,2022/2023,Erling Haaland,Manchester City,,1
2024,2023/2024,Phil Foden,Manchester City,,1
